Open,High,Low,Close
4.793,4.793,4.793,4.793
4.894,4.894,4.889,4.889
4.894,4.894,4.894,4.894
4.876,4.876,4.876,4.876
4.869,4.869,4.869,4.869
4.85,4.85,4.85,4.85
4.832,4.832,4.832,4.832
4.823,4.823,4.823,4.823
4.732,4.732,4.732,4.732
4.705,4.705,4.705,4.705
4.705,4.705,4.705,4.705
4.695,4.695,4.695,4.695
4.641,4.641,4.641,4.641
4.636,4.636,4.636,4.636
4.536,4.536,4.536,4.536
4.536,4.536,4.536,4.536
4.536,4.536,4.536,4.536
4.536,4.536,4.536,4.536
4.536,4.536,4.536,4.536
4.636,4.636,4.6,4.6
4.6,4.6,4.564,4.564
4.564,4.564,4.491,4.491
4.491,4.491,4.179,4.179
4.179,4.179,4.02,4.02
4.02,4.02,4.003,4.003
4.003,4.003,4.001,4.001
4.001,4.006,4.001,4.006
4.006,4.006,3.996,3.996
3.996,3.996,3.992,3.992
3.992,3.992,3.983,3.983
3.986,3.986,3.986,3.986
3.986,3.986,3.974,3.974
3.974,3.974,3.974,3.974
3.983,3.983,3.983,3.983
3.992,3.992,3.992,3.992
4.009,4.009,4.009,4.009
4.032,4.032,4.032,4.032
4.045,4.045,4.045,4.045
4.047,4.047,4.047,4.047
4.057,4.057,4.057,4.057
4.061,4.061,4.061,4.061
4.056,4.056,4.056,4.056
4.061,4.061,4.06,4.06
4.061,4.061,4.061,4.061
4.06,4.06,4.06,4.06
4.06,4.06,4.06,4.06
4.059,4.059,4.059,4.059
4.065,4.065,4.065,4.065
4.059,4.059,4.059,4.059
4.058,4.058,4.058,4.058
4.031,4.031,4.031,4.031
4.009,4.009,4.009,4.009
4.009,4.009,4.009,4.009
3.856,3.856,3.856,3.856
3.856,3.856,3.854,3.854
3.854,3.854,3.849,3.849
3.849,3.849,3.826,3.826
3.826,3.826,3.805,3.805
3.805,3.805,3.65,3.65
3.651,3.651,3.626,3.626
3.567,3.567,3.567,3.567
3.567,3.567,3.54,3.54
3.54,3.54,3.51,3.51
3.51,3.51,3.368,3.368
3.368,3.368,3.168,3.168
3.049,3.049,3.049,3.049
3.049,3.062,3.049,3.062
3.062,3.062,2.988,2.988
2.988,3.032,2.988,3.032
3.032,3.032,3.032,3.032
3.002,3.002,3.002,3.002
3.002,3.002,2.977,2.977
2.977,2.977,2.968,2.968
2.968,2.968,2.968,2.968
2.967,2.967,2.967,2.967
2.976,2.976,2.976,2.976
2.976,2.986,2.976,2.986
2.986,2.986,2.945,2.945
2.963,2.963,2.963,2.963
2.963,2.963,2.963,2.963
2.968,2.968,2.968,2.968
2.967,2.967,2.923,2.923
2.922,2.948,2.922,2.948
2.947,2.947,2.743,2.743
2.741,2.852,2.741,2.852
2.802,2.802,2.802,2.802
2.802,2.802,2.802,2.802
2.802,2.802,2.801,2.801
2.851,2.851,2.824,2.824
2.824,2.824,2.756,2.756
2.715,2.715,2.715,2.715
2.715,2.715,2.696,2.696
2.696,2.696,2.687,2.687
2.687,2.687,2.683,2.683
2.683,2.683,2.678,2.678
2.678,2.678,2.669,2.669
2.669,2.669,2.632,2.632
2.632,2.651,2.632,2.651
2.632,2.651,2.632,2.65
2.65,2.668,2.65,2.668
2.659,2.659,2.659,2.659
2.659,2.659,2.659,2.659
2.659,2.664,2.659,2.664
2.664,2.668,2.664,2.668
2.691,2.691,2.691,2.691
2.718,2.718,2.718,2.718
2.718,2.718,2.714,2.714
2.714,2.714,2.705,2.705
2.705,2.705,2.705,2.705
2.705,2.705,2.677,2.677
2.673,2.673,2.673,2.673
2.673,2.673,2.668,2.668
2.668,2.668,2.659,2.659
2.659,2.659,2.659,2.659
2.659,2.659,2.618,2.618
2.614,2.614,2.614,2.614
2.614,2.614,2.573,2.573
2.573,2.573,2.555,2.555
2.555,2.555,2.491,2.491
2.418,2.418,2.418,2.418
2.418,2.418,2.405,2.405
2.405,2.405,2.377,2.377
2.377,2.377,2.368,2.368
2.368,2.368,2.345,2.345
2.345,2.345,2.327,2.327
2.327,2.336,2.327,2.336
2.336,2.336,2.336,2.336
2.336,2.336,2.336,2.336
2.336,2.336,2.336,2.336
2.336,2.336,2.336,2.336
2.336,2.336,2.336,2.336
2.336,2.336,2.336,2.336
2.335,2.335,2.327,2.327
2.327,2.335,2.327,2.335
2.336,2.339,2.336,2.339
2.339,2.344,2.339,2.344
2.344,2.344,2.263,2.263
2.263,2.263,2.124,2.124
2.125,2.125,2.041,2.041
2.041,2.041,2.032,2.032
2.032,2.032,2.027,2.027
2.027,2.027,2.027,2.027
2.027,2.027,1.995,1.995
1.995,1.995,1.959,1.959
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
1.941,1.941,1.941,1.941
1.923,1.923,1.923,1.923
1.923,1.923,1.923,1.923
1.923,1.923,1.923,1.923
1.923,1.923,1.923,1.923
1.923,1.923,1.923,1.923
1.918,1.918,1.918,1.918
1.909,1.909,1.909,1.909
1.905,1.905,1.905,1.905
1.905,1.905,1.905,1.905
1.923,1.923,1.923,1.923
1.913,1.913,1.913,1.913
1.913,1.913,1.913,1.913
1.918,1.918,1.918,1.918
1.918,1.918,1.918,1.918
1.927,1.927,1.927,1.927
1.932,1.932,1.932,1.932
1.923,1.923,1.923,1.923
1.923,1.923,1.923,1.923
1.926,1.926,1.926,1.926
1.926,1.926,1.926,1.926
1.917,1.917,1.917,1.917
1.917,1.917,1.917,1.917
1.917,1.917,1.917,1.917
1.917,1.917,1.917,1.917
1.917,1.917,1.917,1.917
1.917,1.917,1.917,1.917
1.867,1.867,1.867,1.867
1.867,1.867,1.867,1.867
1.924,1.924,1.924,1.924
1.924,1.924,1.924,1.924
1.933,1.933,1.933,1.933
1.924,1.924,1.924,1.924
1.922,1.922,1.922,1.922
1.918,1.918,1.918,1.918
1.913,1.913,1.913,1.913
1.913,1.913,1.913,1.913
1.909,1.909,1.909,1.909
1.909,1.909,1.909,1.909
1.909,1.909,1.909,1.909
1.908,1.908,1.908,1.908
1.908,1.908,1.908,1.908
1.908,1.908,1.908,1.908
1.908,1.908,1.908,1.908
1.908,1.908,1.908,1.908
1.912,1.912,1.912,1.912
1.912,1.912,1.912,1.912
1.916,1.916,1.916,1.916
1.92,1.92,1.92,1.92
1.942,1.942,1.942,1.942
1.956,1.956,1.956,1.956
1.962,1.962,1.962,1.962
1.986,1.986,1.986,1.986
1.992,1.992,1.992,1.992
1.996,1.996,1.996,1.996
1.987,1.987,1.987,1.987
1.986,1.986,1.986,1.986
1.995,1.995,1.995,1.995
1.991,1.991,1.991,1.991
1.991,1.991,1.991,1.991
1.991,1.991,1.991,1.991
2.032,2.032,2.032,2.032
2.036,2.036,2.036,2.036
2.041,2.041,2.041,2.041
2.041,2.041,2.041,2.041
2.036,2.036,2.036,2.036
2.036,2.036,2.036,2.036
2.027,2.027,2.027,2.027
2.023,2.023,2.023,2.023
2.023,2.023,2.023,2.023
2.023,2.023,2.023,2.023
2.023,2.023,2.023,2.023
2.023,2.023,2.023,2.023
2.017,2.017,2.017,2.017
1.995,1.995,1.995,1.995
1.986,1.986,1.986,1.986
1.982,1.982,1.982,1.982
1.982,1.982,1.982,1.982
1.964,1.964,1.964,1.964
1.964,1.964,1.964,1.964
1.964,1.964,1.964,1.964
1.953,1.953,1.953,1.953
1.949,1.949,1.949,1.949
1.936,1.936,1.936,1.936
1.917,1.917,1.917,1.917
1.914,1.914,1.914,1.914
1.914,1.914,1.914,1.914
1.895,1.895,1.895,1.895
1.891,1.891,1.891,1.891
1.882,1.882,1.882,1.882
1.882,1.882,1.882,1.882
1.873,1.873,1.873,1.873
1.873,1.873,1.873,1.873
1.873,1.873,1.873,1.873
1.873,1.873,1.873,1.873
1.874,1.874,1.874,1.874
1.869,1.869,1.869,1.869
1.859,1.859,1.859,1.859
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
1.859,1.859,1.859,1.859
1.816,1.816,1.776,1.816
1.812,1.812,1.812,1.812
1.812,1.812,1.807,1.807
1.812,1.812,1.796,1.796
1.796,1.796,1.792,1.792
1.792,1.792,1.792,1.792
1.792,1.792,1.792,1.792
1.792,1.792,1.787,1.787
1.787,1.787,1.787,1.787
1.786,1.786,1.786,1.786
1.787,1.787,1.787,1.787
1.786,1.786,1.786,1.786
1.686,1.686,1.686,1.686
1.787,1.787,1.778,1.778
1.778,1.778,1.765,1.765
1.765,1.765,1.765,1.765
1.765,1.776,1.765,1.776
1.776,1.776,1.755,1.755
1.776,1.776,1.739,1.739
1.739,1.739,1.718,1.718
1.739,1.739,1.709,1.709
1.709,1.709,1.701,1.701
1.701,1.701,1.548,1.548
1.548,1.548,1.439,1.439
1.397,1.397,1.397,1.397
1.397,1.397,1.397,1.397
1.397,1.397,1.397,1.397
1.396,1.396,1.396,1.396
1.396,1.397,1.396,1.397
1.388,1.388,1.388,1.388
1.379,1.379,1.379,1.379
1.375,1.375,1.375,1.375
1.375,1.375,1.375,1.375
1.375,1.375,1.375,1.375
1.375,1.375,1.375,1.375
1.379,1.379,1.379,1.379
1.378,1.378,1.378,1.378
1.379,1.379,1.379,1.379
1.378,1.378,1.378,1.378
1.378,1.378,1.378,1.378
1.277,1.277,1.277,1.277
1.277,1.277,1.277,1.277
1.277,1.277,1.277,1.277
1.277,1.277,1.277,1.277
1.277,1.277,1.277,1.277
1.377,1.377,1.322,1.322
1.377,1.377,1.322,1.343
1.343,1.343,1.343,1.343
1.343,1.343,1.343,1.343
1.343,1.343,1.343,1.343
1.372,1.372,1.372,1.372
1.372,1.389,1.372,1.389
1.388,1.388,1.388,1.388
1.368,1.368,1.368,1.368
1.369,1.369,1.35,1.35
1.35,1.388,1.35,1.388
1.392,1.392,1.392,1.392
1.393,1.393,1.393,1.393
1.393,1.393,1.383,1.383
1.383,1.383,1.383,1.383
1.417,1.417,1.417,1.417
1.417,1.457,1.417,1.457
1.466,1.466,1.466,1.466
1.466,1.504,1.466,1.504
1.504,1.508,1.504,1.508
1.508,1.508,1.508,1.508
1.507,1.516,1.507,1.516
1.524,1.524,1.524,1.524
1.524,1.542,1.524,1.542
1.541,1.567,1.541,1.567
1.567,1.567,1.561,1.561
1.556,1.556,1.556,1.556
1.611,1.611,1.611,1.611
1.611,1.616,1.611,1.616
1.616,1.681,1.616,1.681
1.681,1.74,1.681,1.74
1.739,1.755,1.739,1.755
1.772,1.772,1.772,1.772
1.772,1.839,1.772,1.839
1.839,1.935,1.839,1.935
1.934,1.934,1.934,1.934
1.934,1.934,1.934,1.934
1.976,1.976,1.976,1.976
1.976,1.98,1.976,1.98
1.98,1.98,1.939,1.939
1.939,1.951,1.939,1.951
1.951,1.951,1.951,1.951
1.954,1.954,1.954,1.954
1.954,1.988,1.954,1.988
1.988,1.992,1.988,1.992
1.942,1.942,1.942,1.942
1.988,2.0,1.988,2.0
2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0
2.0,2.017,2.0,2.017
2.017,2.017,2.017,2.017
2.017,2.017,2.017,2.017
1.967,1.967,1.967,1.967
1.967,1.967,1.967,1.967
1.967,1.967,1.967,1.967
2.023,2.023,2.023,2.023
2.023,2.023,2.023,2.023
2.014,2.014,2.014,2.014
2.014,2.014,2.014,2.014
1.998,1.998,1.998,1.998
1.998,1.998,1.998,1.998
1.998,1.998,1.998,1.998
1.997,1.997,1.997,1.997
1.997,1.997,1.983,1.983
1.984,1.984,1.984,1.984
1.984,1.984,1.984,1.984
1.983,1.983,1.983,1.983
1.983,1.983,1.983,1.983
1.983,1.983,1.983,1.983
1.983,1.983,1.983,1.983
1.983,2.025,1.983,2.025
2.025,2.033,2.025,2.033
2.033,2.033,2.033,2.033
2.033,2.033,2.033,2.033
2.033,2.033,2.033,2.033
2.032,2.032,2.032,2.032
2.032,2.032,2.032,2.032
2.032,2.032,2.032,2.032
2.032,2.032,2.032,2.032
2.032,2.032,2.032,2.032
2.032,2.032,2.024,2.024
2.024,2.024,2.024,2.024
2.024,2.024,2.024,2.024
2.024,2.024,2.024,2.024
2.023,2.023,2.023,2.023
2.024,2.024,2.024,2.024
2.023,2.023,2.019,2.019
2.019,2.019,2.019,2.019
2.02,2.02,2.02,2.02
2.019,2.019,2.019,2.019
2.019,2.019,2.019,2.019
2.019,2.019,2.019,2.019
2.019,2.019,2.019,2.019
2.019,2.019,2.019,2.019
2.019,2.027,2.019,2.027
2.027,2.027,2.027,2.027
2.027,2.027,2.027,2.027
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.026,2.026,2.026,2.026
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.025,2.025,2.025
2.025,2.029,2.025,2.029
2.029,2.029,2.029,2.029
2.033,2.033,2.033,2.033
2.033,2.033,2.033,2.033
2.033,2.033,2.033,2.033
2.033,2.033,2.033,2.033
2.037,2.037,2.037,2.037
